client_gender,vehicle_production_year,age,had_car_loan,had_other_loans,loan_type,loan_initial_term,loan_to_value_ratio,annual_percentage_rate,monthly_interest_rate,region_region 1,region_region 10,region_region 11,region_region 12,region_region 2,region_region 3,region_region 4,region_region 5,region_region 6,region_region 7,region_region 8,region_region 9,branch_branch 2,branch_branch 3,branch_branch 4,branch_branch 5,branch_branch 6,branch_branch 7,default_status,log_income,log_vehical_value,log_loan_amount
0,2002,31.0,0,0,0,90,0.526315789473684,35.9609302359152,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,7.090076835776092,9.118225083068378,8.476371196895983
0,2011,31.0,0,0,1,90,0.744186046511628,36.7862940332697,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7.090076835776092,9.9349862195955,9.639522006701663
1,1995,34.0,0,0,0,36,0.769230769230769,37.2011148953622,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,7.272398392570047,8.738735461363474,8.476371196895983
1,2007,26.0,1,0,0,36,0.666666666666667,28.8183125094825,2.5305,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,7.560080465021827,8.881836305004146,8.476371196895983
1,2000,25.0,0,0,0,36,0.583333333333333,36.0510489741926,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6.761572768804055,8.658692753689937,8.11969625295725
1,2004,25.0,0,0,0,54,0.545669958095712,36.134930310313,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7.090076835776092,9.487593248937424,8.881836305004146
0,2000,31.0,0,0,0,54,0.8,34.2554542539864,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0,9.064157861798101,8.841014310483892
1,2003,25.0,0,0,0,54,0.75,37.4986225907605,3.374,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,6.579251212010101,8.435549202375727,8.147867129923947
1,1996,28.0,0,0,0,54,0.8,37.7930201623705,3.374,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0,8.476371196895983,8.253227645581772
1,2006,40.0,0,0,0,90,0.8,35.1377800204564,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,7.090076835776092,10.085809109330082,9.862665558015873
1,1997,60.0,0,0,0,90,0.666666666666667,36.9240342462691,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7.560080465021827,8.525161361065415,8.11969625295725
1,1998,37.0,0,1,0,36,0.5,38.250021307789,3.374,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,8.253227645581772,7.560080465021827
1,2002,63.0,0,0,0,54,0.795454545454545,37.7836877139881,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7.090076835776092,9.264828557260252,9.035986984831405
1,2005,26.0,0,0,0,54,0.315789473684211,36.9166781267404,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7.272398392570047,9.118225083068378,7.965545573129992
0,2003,29.0,0,0,0,54,0.384615384615385,36.9843712017558,3.374,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,8.476371196895983,11.041320554357519,10.085809109330082
1,2006,47.0,1,0,0,54,0.5,36.7782127865833,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7.272398392570047,9.351839934249883,8.658692753689937
0,2006,29.0,0,0,0,36,0.517241379310345,37.9729901446924,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,9.54108193388841,8.881836305004146
1,2011,25.0,0,0,0,54,0.770833333333333,36.2162272004469,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6.984716320118266,9.351839934249883,9.091556835986216
0,1996,34.0,0,0,0,72,0.8,35.1317591959893,3.374,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0,8.881836305004146,8.658692753689937
1,1996,39.0,0,0,1,72,0.78125,36.1275575341144,3.374,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,7.090076835776092,8.946374826141717,8.699514748210191
1,2006,40.0,0,0,0,72,0.5,36.8403700267599,3.374,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6.866933284461882,9.169518377455928,8.476371196895983
1,2007,27.0,0,0,1,54,0.833333333333333,36.8541939681369,3.374,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,9.064157861798101,8.881836305004146
1,2003,39.0,0,0,0,54,0.5,37.0344450825222,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7.272398392570047,9.862665558015873,9.169518377455928
1,1998,25.0,0,0,0,54,0.535714285714286,36.2436886857973,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7.272398392570047,8.812843433517195,8.1886891244442
1,2002,32.0,0,0,0,90,0.721649484536082,34.5903261642579,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6.866933284461882,9.544524278079383,9.21830854162536
1,1995,26.0,0,0,1,90,0.8,36.6968293387955,3.374,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,6.761572768804055,8.881836305004146,8.658692753689937
1,2012,31.0,0,0,0,90,0.636363636363636,35.7274278110611,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7.67786350067821,10.181119289134408,9.72913416539135
1,2004,60.0,0,0,0,90,0.566666666666667,35.1045605188281,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7.090076835776092,9.574983485564092,9.006999447958153
1,2003,26.0,0,0,0,90,0.794117647058823,36.2297168817919,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,9.006999447958153,8.776475789346321
0,2008,38.0,0,0,0,54,0.59375,35.7923652759769,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,7.272398392570047,8.946374826141717,8.425077902508432
